"file","name","variant","profile","duration","steps","cfg","sampler","seed","elapsedSec","status","prompt","negative","error"
"art_direction\audio-upgrade\source\small-sfx\rifle_01.wav","rifle_01","small-sfx","sfx","1.0","12","1.0","pingpong","1644911091","2.06","ok","A single assault rifle gunshot, sharp explosive crack followed by a tight low punch and short outdoor air tail, close perspective, powerful mechanical firearm","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\heavy_shot_01.wav","heavy_shot_01","small-sfx","sfx","1.5","12","1.0","pingpong","845134175","0.63","ok","A single heavy combat shotgun blast, deep explosive body and crisp metallic action, short outdoor decay, close perspective","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\dry_02.wav","dry_02","small-sfx","sfx","0.5","12","1.0","pingpong","1849007214","0.63","ok","One dry steel firearm trigger click, short mechanical snap, close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\mag_out_02.wav","mag_out_02","small-sfx","sfx","0.8","12","1.0","pingpong","1980883966","0.67","ok","A single rifle magazine release, metal latch click followed by a short polymer magazine sliding out, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\shell_01.wav","shell_01","small-sfx","sfx","0.7","12","1.0","pingpong","1195991675","0.63","ok","A single small brass cartridge casing bouncing briefly on concrete, delicate metallic tick, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\flesh_03.wav","flesh_03","small-sfx","sfx","0.6","12","1.0","pingpong","1019416898","0.78","ok","A single punch striking a thick leather covered fleshy body, wet dense thud with a sharp slap, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\armor_02.wav","armor_02","small-sfx","sfx","0.8","12","1.0","pingpong","2082289483","0.71","ok","A single bullet impact breaking a brittle bone plate, hard sharp crack and tiny fragments scattering, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\kill_01.wav","kill_01","small-sfx","sfx","0.8","12","1.0","pingpong","1688362470","0.73","ok","A single heavy organic body impact, dense fleshy thud and brief gritty exhale, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\weak_03.wav","weak_03","small-sfx","sfx","0.5","12","1.0","pingpong","1870248658","0.71","ok","A single precise sharp glass and bone impact, tiny bright crack with a tight low thud, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\weak_kill_01.wav","weak_kill_01","small-sfx","sfx","0.8","12","1.0","pingpong","1847238581","0.66","ok","A single brittle bone snap followed by a dense organic impact, compact emphatic crunch, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\explosion_01.wav","explosion_01","small-sfx","sfx","2.5","12","1.0","pingpong","751012651","0.62","ok","A single heavy explosion in an empty city street, sharp initial blast and deep rolling pressure, debris pattering during a short natural decay","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\zap_03.wav","zap_03","small-sfx","sfx","0.8","12","1.0","pingpong","2117021271","0.65","ok","A single high voltage electrical arc, sharp spark snap followed by a brief irregular crackling discharge, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\charge_03.wav","charge_03","small-sfx","sfx","1.2","12","1.0","pingpong","1475204293","0.67","ok","A large predatory creature making one aggressive rising guttural growl, deep chest resonance and ragged breath, close dry recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\spit_01.wav","spit_01","small-sfx","sfx","0.9","12","1.0","pingpong","1252129644","0.66","ok","A creature forcefully expelling a single acidic spit, tense wet gurgle followed by a sharp liquid spray, close dry recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\blast_warn_01.wav","blast_warn_01","small-sfx","sfx","1.0","12","1.0","pingpong","737666893","0.68","ok","A swollen organic sac rapidly swelling and rupturing with a tense rising hiss, short threatening creature warning, dry close perspective","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\climb_01.wav","climb_01","small-sfx","sfx","0.9","12","1.0","pingpong","1816861727","0.64","ok","A claw scraping rough concrete followed by a harsh creature breath, short rising scrape, close dry recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\melee_01.wav","melee_01","small-sfx","sfx","0.7","12","1.0","pingpong","156834266","0.64","ok","A hostile creature making a single sharp throaty snarl and forceful breath before a lunge, dry close recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\hurt_01.wav","hurt_01","small-sfx","sfx","0.7","12","1.0","pingpong","1848878951","0.65","ok","A single heavy blunt impact against a padded vest, dull body thump with a short strained breath, close dry recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\shield_01.wav","shield_01","small-sfx","sfx","0.8","12","1.0","pingpong","68000748","0.62","ok","A single impact on a resonant crystal shield, compact glassy metallic ping with a short low pressure pulse, dry close recording","music, melody, speech, background hum, distortion, long silence, repeated actions",""
"art_direction\audio-upgrade\source\small-sfx\step_01.wav","step_01","small-sfx","sfx","0.6","12","1.0","pingpong","255191726","0.69","ok","One heavy tactical boot footstep landing on gritty concrete, compact heel impact followed by sole grit, dry close microphone","music, melody, speech, background hum, distortion, long silence, repeated actions",""
